tri,taille,cas,plage,temps
comptage,9000,decroissant,grande,0.000068
fusion,9000,decroissant,grande,0.000776
rapide,9000,decroissant,grande,0.000319
bulle_basique,9000,constant,grande,0.108005
bulle_basique_v2,9000,constant,grande,0.055942
bulle_optimise,9000,constant,grande,0.000014
cocktail,9000,constant,grande,0.000024
selection,9000,constant,grande,0.057777
insertion,9000,constant,grande,0.000022
comptage,9000,constant,grande,0.001930
fusion,9000,constant,grande,0.001311
rapide,9000,constant,grande,0.112932
bulle_basique,11000,aleatoire,petite,0.269021
bulle_basique_v2,11000,aleatoire,petite,0.194000
bulle_optimise,11000,aleatoire,petite,0.192888
cocktail,11000,aleatoire,petite,0.159124
selection,11000,aleatoire,petite,0.079369
insertion,11000,aleatoire,petite,0.038972
comptage,11000,aleatoire,petite,0.000043
fusion,11000,aleatoire,petite,0.001238
rapide,11000,aleatoire,petite,0.006685
bulle_basique,11000,croissant,petite,0.155260
bulle_basique_v2,11000,croissant,petite,0.077881
bulle_optimise,11000,croissant,petite,0.000014
cocktail,11000,croissant,petite,0.000029
selection,11000,croissant,petite,0.077499
insertion,11000,croissant,petite,0.000025
comptage,11000,croissant,petite,0.000089
fusion,11000,croissant,petite,0.000851
rapide,11000,croissant,petite,0.000296
bulle_basique,11000,decroissant,petite,0.210016
bulle_basique_v2,11000,decroissant,petite,0.137824
bulle_optimise,11000,decroissant,petite,0.138612
cocktail,11000,decroissant,petite,0.133543
selection,11000,decroissant,petite,0.087064
insertion,11000,decroissant,petite,0.080988
comptage,11000,decroissant,petite,0.000075
fusion,11000,decroissant,petite,0.000890
rapide,11000,decroissant,petite,0.000372
bulle_basique,11000,constant,petite,0.154560
bulle_basique_v2,11000,constant,petite,0.077202
bulle_optimise,11000,constant,petite,0.000014
cocktail,11000,constant,petite,0.000028
selection,11000,constant,petite,0.077322
insertion,11000,constant,petite,0.000024
comptage,11000,constant,petite,0.000049
fusion,11000,constant,petite,0.001049
rapide,11000,constant,petite,0.126994
bulle_basique,11000,aleatoire,grande,0.265002
bulle_basique_v2,11000,aleatoire,grande,0.192216
bulle_optimise,11000,aleatoire,grande,0.188893
cocktail,11000,aleatoire,grande,0.150521
selection,11000,aleatoire,grande,0.078032
insertion,11000,aleatoire,grande,0.040610
comptage,11000,aleatoire,grande,0.002253
fusion,11000,aleatoire,grande,0.001519
rapide,11000,aleatoire,grande,0.000883
bulle_basique,11000,croissant,grande,0.158978
bulle_basique_v2,11000,croissant,grande,0.077810
bulle_optimise,11000,croissant,grande,0.000015
cocktail,11000,croissant,grande,0.000028
selection,11000,croissant,grande,0.077719
insertion,11000,croissant,grande,0.000026
comptage,11000,croissant,grande,0.000078
fusion,11000,croissant,grande,0.000870
rapide,11000,croissant,grande,0.000301
bulle_basique,11000,decroissant,grande,0.209598
bulle_basique_v2,11000,decroissant,grande,0.138036
bulle_optimise,11000,decroissant,grande,0.139230
cocktail,11000,decroissant,grande,0.133815
selection,11000,decroissant,grande,0.086987
insertion,11000,decroissant,grande,0.081097
comptage,11000,decroissant,grande,0.000088
fusion,11000,decroissant,grande,0.001095
rapide,11000,decroissant,grande,0.000371
bulle_basique,11000,constant,grande,0.154490
bulle_basique_v2,11000,constant,grande,0.077292
bulle_optimise,11000,constant,grande,0.000014
cocktail,11000,constant,grande,0.000028
selection,11000,constant,grande,0.077352
insertion,11000,constant,grande,0.000025
comptage,11000,constant,grande,0.001735
fusion,11000,constant,grande,0.000892
rapide,11000,constant,grande,0.127251
bulle_basique,13000,aleatoire,petite,0.377384
bulle_basique_v2,13000,aleatoire,petite,0.283053
bulle_optimise,13000,aleatoire,petite,0.271609
cocktail,13000,aleatoire,petite,0.215182
selection,13000,aleatoire,petite,0.108193
insertion,13000,aleatoire,petite,0.054130
comptage,13000,aleatoire,petite,0.000050
fusion,13000,aleatoire,petite,0.001651
rapide,13000,aleatoire,petite,0.012286
bulle_basique,13000,croissant,petite,0.237171
bulle_basique_v2,13000,croissant,petite,0.107871
bulle_optimise,13000,croissant,petite,0.000018
cocktail,13000,croissant,petite,0.000034
selection,13000,croissant,petite,0.107868
insertion,13000,croissant,petite,0.000029
comptage,13000,croissant,petite,0.000089
fusion,13000,croissant,petite,0.001128
rapide,13000,croissant,petite,0.000360
bulle_basique,13000,decroissant,petite,0.292540
bulle_basique_v2,13000,decroissant,petite,0.194835
bulle_optimise,13000,decroissant,petite,0.194895
cocktail,13000,decroissant,petite,0.189528
selection,13000,decroissant,petite,0.121730
insertion,13000,decroissant,petite,0.115538
comptage,13000,decroissant,petite,0.000086
fusion,13000,decroissant,petite,0.001054
rapide,13000,decroissant,petite,0.000472
bulle_basique,13000,constant,petite,0.229687
bulle_basique_v2,13000,constant,petite,0.108789
bulle_optimise,13000,constant,petite,0.000017
cocktail,13000,constant,petite,0.000034
selection,13000,constant,petite,0.108519
insertion,13000,constant,petite,0.000030
comptage,13000,constant,petite,0.000068
fusion,13000,constant,petite,0.001016
rapide,13000,constant,petite,0.177906
bulle_basique,13000,aleatoire,grande,0.394826
bulle_basique_v2,13000,aleatoire,grande,0.283867
bulle_optimise,13000,aleatoire,grande,0.284068
cocktail,13000,aleatoire,grande,0.217162
selection,13000,aleatoire,grande,0.109719
insertion,13000,aleatoire,grande,0.057855
comptage,13000,aleatoire,grande,0.002088
fusion,13000,aleatoire,grande,0.001865
rapide,13000,aleatoire,grande,0.001089
bulle_basique,13000,croissant,grande,0.216977
bulle_basique_v2,13000,croissant,grande,0.108837
bulle_optimise,13000,croissant,grande,0.000017
cocktail,13000,croissant,grande,0.000034
selection,13000,croissant,grande,0.117518
insertion,13000,croissant,grande,0.000031
comptage,13000,croissant,grande,0.000248
fusion,13000,croissant,grande,0.001445
rapide,13000,croissant,grande,0.000404
bulle_basique,13000,decroissant,grande,0.298423
bulle_basique_v2,13000,decroissant,grande,0.195139
bulle_optimise,13000,decroissant,grande,0.194661
cocktail,13000,decroissant,grande,0.187987
selection,13000,decroissant,grande,0.121744
insertion,13000,decroissant,grande,0.113594
comptage,13000,decroissant,grande,0.000089
fusion,13000,decroissant,grande,0.001396
rapide,13000,decroissant,grande,0.000444
bulle_basique,13000,constant,grande,0.220499
bulle_basique_v2,13000,constant,grande,0.108280
bulle_optimise,13000,constant,grande,0.000017
cocktail,13000,constant,grande,0.000056
selection,13000,constant,grande,0.107789
insertion,13000,constant,grande,0.000030
comptage,13000,constant,grande,0.001660
fusion,13000,constant,grande,0.001120
rapide,13000,constant,grande,0.178577
bulle_basique,15000,aleatoire,petite,0.520483
bulle_basique_v2,15000,aleatoire,petite,0.384426
bulle_optimise,15000,aleatoire,petite,0.379233
cocktail,15000,aleatoire,petite,0.289935
selection,15000,aleatoire,petite,0.144820
insertion,15000,aleatoire,petite,0.072265
comptage,15000,aleatoire,petite,0.000062
fusion,15000,aleatoire,petite,0.001820
rapide,15000,aleatoire,petite,0.012022
bulle_basique,15000,croissant,petite,0.290474
bulle_basique_v2,15000,croissant,petite,0.143692
bulle_optimise,15000,croissant,petite,0.000021
cocktail,15000,croissant,petite,0.000039
selection,15000,croissant,petite,0.144274
insertion,15000,croissant,petite,0.000034
comptage,15000,croissant,petite,0.000095
fusion,15000,croissant,petite,0.001229
rapide,15000,croissant,petite,0.000418
bulle_basique,15000,decroissant,petite,0.391689
bulle_basique_v2,15000,decroissant,petite,0.264976
bulle_optimise,15000,decroissant,petite,0.260563
cocktail,15000,decroissant,petite,0.249609
selection,15000,decroissant,petite,0.162671
insertion,15000,decroissant,petite,0.151569
